-41.101, 42.844, 99.838
-39.721, 41.396, 99.881
-38.339, 39.95, 99.881
-36.957, 38.505, 99.916
-35.573, 37.061, 99.916
-34.188, 35.618, 99.944
-32.803, 34.175, 99.944
-31.417, 32.733, 99.968
-30.031, 31.291, 99.968
-28.644, 29.85, 99.988
-27.258, 28.409, 99.988
-25.871, 26.968, 99.994
-24.484, 25.527, 99.994
-23.097, 24.085, 99.979
-21.71, 22.644, 99.979
-20.324, 21.203, 99.965
-18.938, 19.761, 99.965
-17.552, 18.319, 99.952
-16.166, 16.877, 99.952
-14.781, 15.434, 99.939
-13.396, 13.991, 99.939
-12.012, 12.547, 99.928
-10.629, 11.103, 99.928
-9.246, 9.658, 99.916
-7.864, 8.213, 99.916
-6.482, 6.767, 99.905
-5.102, 5.32, 99.905
-3.721, 3.872, 99.905
-2.343, 2.423, 99.894
-0.964, 0.974, 99.894
0.413, -0.476, 99.882
1.789, -1.928, 99.882
3.164, -3.38, 99.87
4.538, -4.833, 99.87
5.911, -6.287, 99.857
7.282, -7.744, 99.857
8.653, -9.2, 99.857
10.022, -10.658, 99.843
11.389, -12.117, 99.843
12.756, -13.578, 99.829
14.12, -15.04, 99.829
15.484, -16.503, 99.813
16.845, -17.969, 99.813
18.206, -19.434, 99.813
19.563, -20.903, 99.796
20.92, -22.372, 99.796
22.275, -23.843, 99.789
24.016, -24.412, 100
26.016, -24.377, 100
28.015, -24.342, 100
30.015, -24.307, 100
32.015, -24.272, 100
34.014, -24.237, 98.81
36.014, -24.202, 96.205
38.014, -24.167, 93.527
39.005, -22.518, 90.877
39.82, -20.692, 89.023
40.512, -18.816, 86.79
41.051, -16.891, 86.664
41.429, -14.927, 87.052
41.706, -12.947, 84.084
42, -10.969, 81.007
42.42, -9.014, 77.809
42.999, -7.1, 74.475
43.722, -5.236, 70.983
44.559, -3.42, 67.31
45.482, -1.646, 63.425
46.474, 0.091, 59.285
47.515, 1.798, 54.834
48.575, 3.123, 50.753
47.805, 1.278, 95.938
46.952, -0.531, 98.421
46.078, -2.33, 99.228
45.195, -4.124, 99.569
44.304, -5.915, 99.668
43.409, -7.703, 99.74
42.511, -9.49, 99.794
41.61, -11.276, 99.836
40.708, -13.061, 99.87
39.804, -14.845, 99.896
38.898, -16.628, 99.919
37.992, -18.411, 99.938
37.084, -20.193, 99.954
36.177, -21.975, 99.968
35.268, -23.757, 97.665
34.36, -25.539, 95.029
33.451, -27.321, 92.317
32.543, -29.102, 89.524
31.634, -30.884, 86.64
30.726, -32.666, 83.657
29.818, -34.448, 80.564
28.91, -36.23, 77.347
28.003, -38.013, 73.99
27.097, -39.796, 70.473
26.192, -41.579, 66.772
25.288, -43.363, 62.853
24.385, -45.147, 58.673
23.483, -46.933, 54.171
22.605, -48.73, 49.259
21.783, -50.553, 43.801
21.043, -52.41, 37.559
